question,answer
"Which section refers to an act likely to cause harm, but done without criminal intent, and to prevent other harm?","Section 81 refers to an act likely to cause harm, but done without criminal intent, and to prevent other harm."
What does section 84 refer to?,Section 84 refers to the act of a person of unsound mind.
What is the term for the act of a person of unsound mind in legal terminology?,The act of a person of unsound mind is referred to as Section 84 in legal terminology.
What does section 88 refer to?,The text does not provide specific details on what section 88 refers to.
Does the text provide specific details on what section 88 refers to?,"No, the text does not provide specific details on what section 88 refers to."
What does act 90 state?,"Act 90 states that consent known to be given under fear or misconception, consent of an insane person, and consent of a child are all considered."
"What does consent known to be given under fear or misconception, consent of an insane person, and consent of a child all have in common?",They are all considered under Act 90.
What is act 91 about?,Act 91 is about the exclusion of acts which are offences independently of harm caused.
What does Act 91 specifically exclude?,Act 91 excludes acts which are offences independently of harm caused.
What does act 92 describe?,Act 92 describes an act done in good faith for the benefit of a person without consent.
Which act describes an act done in good faith for the benefit of a person without consent?,Act 92
What is the focus of act 93?,Act 93 focuses on communication made in good faith.
Which act focuses on communication made in good faith?,Act 93 focuses on communication made in good faith.
What is mentioned in act 94?,Act 94 mentions an act to which a person is compelled by threats.
Which act talks about a person being compelled by threats?,Act 94
What does act 95 deal with?,Act 95 deals with an act causing slight harm.
What is the subject of the act that deals with causing slight harm?,The act that deals with causing slight harm is Act 95.
What is act 96 about?,Act 96 is about things done in private defence.
Which act is about things done in private defence?,Act 96 is about things done in private defence.
What does act 97 state?,Act 97 states the right of private defence of the body and of property.
Which act states the right of private defence of the body and of property?,Act 97 states the right of private defence of the body and of property.
What is act 98 focused on?,Act 98 focuses on the right of private defence against the act of a person of unsound mind.
Which act focuses on the right of private defence against the act of a person of unsound mind?,Act 98
What is outlined in act 99?,Act 99 outlines acts against which there is no right of private defence.
Which act outlines acts against which there is no right of private defence?,Act 99 outlines acts against which there is no right of private defence.
What does act 100 describe?,Act 100 describes when the right of private defence of the body extends to causing death.
Which act describes when the right of private defence of the body extends to causing death?,Act 100 describes when the right of private defence of the body extends to causing death.
What is the definition of abetment in act 107?,Act 107 defines abetment of a thing.
What does Act 107 define?,Abetment of a thing
What does act 108 define?,Act 108 defines an abettor.
Who is defined by Act 108?,An abettor
What is stated in act 108A?,Act 108A states about abetment in Indian of offences outside India.
What does Act 108A in Indian law discuss?,Act 108A discusses about abetment in India of offences outside India.
What does act 109 focus on?,Act 109 focuses on the punishment of abetment if the act abetted is committed in consequence and when no express provision is made for its punishment.
Which act focuses on the punishment of abetment if the act abetted is committed in consequence and when no express provision is made for its punishment?,Act 109 focuses on this.
What does section 114 in the law text refer to?,Section 114 refers to the Abettor being present when the offence is committed.
Which section of the law text refers to the Abettor being present when the offence is committed?,Section 114 refers to the Abettor being present when the offence is committed.
What does section 115 discuss in the legal text?,"Section 115 discusses the Abetment of offence punishable with death or imprisonment for life, particularly if the offence is not committed."
"Which section of the legal text discusses the Abetment of offence punishable with death or imprisonment for life, particularly if the offence is not committed?",Section 115 discusses this.
What is the content of section 116?,"Section 116 covers the Abetment of offence punishable with imprisonment, with specific cases where the offence is not committed and if the abettor or person abetted is a public servant whose duty it is to prevent the offence."
"Which section discusses the Abetment of offence punishable with imprisonment, specifically in cases where the offence is not committed and if the abettor or person abetted is a public servant whose duty it is to prevent the offence?",This topic is covered in Section 116.
What is section 117 about?,Section 117 is about Abetting the commission of an offence by the public or by more than ten persons.
Which section is about Abetting the commission of an offence by the public or by more than ten persons?,Section 117 is about Abetting the commission of an offence by the public or by more than ten persons.
What does section 120A define?,Section 120A provides the definition of a criminal conspiracy.
Which section provides the definition of a criminal conspiracy?,Section 120A defines a criminal conspiracy.
What type of offence does section 121 deal with?,"Section 121 deals with the offence of Waging, or attempting to wage war, or abetting waging of war, against the Government of India."
"Which section of the law deals with the offence of Waging, or attempting to wage war, or abetting waging of war, against the Government of India?",Section 121 deals with this offence.
What does section 122 cover?,"Section 122 covers the act of Collecting arms, etc., with the intention of waging war against the Government of India."
"Which section of the law covers the act of collecting arms, etc., with the intention of waging war against the Government of India?","The act of collecting arms, etc., with the intention of waging war against the Government of India is covered in Section 122."
What is section 124A about?,Section 124A covers the offence of Sedition.
Which section covers the offence of Sedition?,Section 124A covers the offence of Sedition.
What does section 125 discuss?,Section 125 discusses the offence of Waging war against any Asiatic power in alliance with the Government of India.
Which section discusses the offence of Waging war against any Asiatic power in alliance with the Government of India?,Section 125 discusses this offence.
What is the content of section 128?,Section 128 discusses the offence of a public servant voluntarily allowing a prisoner of State or war to escape.
Which section discusses the offence of a public servant voluntarily allowing a prisoner of State or war to escape?,Section 128
"What is the offence related to abetting mutiny or attempting to seduce a soldier, sailor or airman from his duty?",131
"Which number corresponds to the offence related to abetting mutiny or attempting to seduce a soldier, sailor or airman from his duty?",131
"What is the offence committed if a soldier, sailor or airman assaults his superior officer?",133
"What is the code number for the offence committed by a soldier, sailor or airman when they assault their superior officer?",133
What offence is committed if someone harbours a deserter?,136
What is the number associated with the offence of harboring a deserter?,136
"What is the offence related to wearing the garb or carrying token used by soldier, sailor or airman?",140
"What number represents the offence related to wearing the garb or carrying token used by soldier, sailor or airman?",140
What is the offence related to unlawful assembly?,141
What is the number associated with the offence related to unlawful assembly?,141
What offence is committed when joining an unlawful assembly armed with a deadly weapon?,144
What is the number associated with the offence committed when joining an unlawful assembly armed with a deadly weapon?,144
What offence is committed when assaulting or obstructing public servant when suppressing a riot?,152
What is the code for the offence committed when assaulting or obstructing a public servant when suppressing a riot?,152
"What is the offence related to promoting enmity between different groups on grounds of religion, race, place of birth, etc.?",153A
"What is the section number for the offence related to promoting enmity between different groups on grounds of religion, race, place of birth, etc.?",153A
"What is the punishment for knowingly carrying arms in any procession or organizing, or holding or taking part in any mass drill or mass training with arms?",153AA
What is the code 153AA associated with in terms of punishment?,"Knowingly carrying arms in any procession or organizing, or holding or taking part in any mass drill or mass training with arms"
What does section 153B of the law state?,"Imputation, assertions prejudicial to national-integration."
"Which section of the law states 'Imputation, assertions prejudicial to national-integration'?",Section 153B
Who does section 154 refer to?,Owner or occupier of land on which an unlawful assembly is held.
What does the owner or occupier of land on which an unlawful assembly is held refer to in law?,Section 154
What is the content of section 158?,Being hired to take part in an unlawful assembly or riot; or to go armed.
Which section discusses being hired to take part in an unlawful assembly or riot; or to go armed?,Section 158
What does section 159 define?,Affray.
Which section defines 'Affray'?,Section 159
What is the punishment in section 160?,Punishment for committing affray.
Which section of law details the punishment for committing affray?,Section 160
What does section 166 refer to?,"Public servant disobeying law, with intent to cause injury to any person."
"Which section refers to a public servant disobeying law, with intent to cause injury to any person?",Section 166
What is the focus of section 170?,Personating a public servant.
Which section focuses on 'Personating a public servant'?,Section 170
What does section 171C cover?,Undue influence at elections.
Which section covers undue influence at elections?,Section 171C
What is the crime in section 171E?,Punishment for bribery.
Which section includes the punishment for bribery?,Section 171E
What does section 172 pertain to?,Absconding to avoid service of summons of other proceeding.
Which legal section pertains to absconding to avoid service of summons of other proceeding?,Section 172
What does section 174A refer to?,Non-appearance in response to a proclamation under section 82 of Act 2 of 1974.
Which section does the Non-appearance in response to a proclamation under section 82 of Act 2 of 1974 refer to?,Section 174A
What is meant by 'Omission to give notice or information to public servant by person legally bound to give it'?,It refers to the act where a person who is legally obligated to provide certain information or notice to a public servant fails to do so.
What does the act where a person who is legally obligated to provide certain information or notice to a public servant fails to do so refer to?,It refers to 'Omission to give notice or information to public servant by person legally bound to give it'.
What is 'Furnishing false information'?,It refers to the act of providing incorrect or misleading information.
What does the act of providing incorrect or misleading information refer to?,It refers to 'Furnishing false information'.
What does 'Resistance to the taking of property by the lawful authority of a public servant' imply?,It means resisting or opposing the lawful action of a public servant to seize or take control of property.
What does it mean to resist or oppose the lawful action of a public servant to seize or take control of property?,It implies 'Resistance to the taking of property by the lawful authority of a public servant'.
What is 'Illegal purchase or bid for property offered for sale by authority of public servant'?,This denotes the act of illegally purchasing or bidding on property that has been put up for sale under the authority of a public servant.
What does the act of illegally purchasing or bidding on property that has been put up for sale under the authority of a public servant denote?,This denotes 'Illegal purchase or bid for property offered for sale by authority of public servant'.
What does 'Obstructing public servant in discharge of public functions' mean?,This means impeding or blocking a public servant from performing their official duties.
What does it mean to impede or block a public servant from performing their official duties?,This refers to 'Obstructing public servant in discharge of public functions'.
What is 'Disobedience to order duly promulgated by public servant'?,This refers to the act of not following or disobeying an order that has been officially issued by a public servant.
What does the act of not following or disobeying an order that has been officially issued by a public servant refer to?,It refers to 'Disobedience to order duly promulgated by public servant'.
What does 'Giving false evidence' mean?,This refers to the act of providing false or misleading information or testimony in a legal proceeding.
What act refers to providing false or misleading information or testimony in a legal proceeding?,'Giving false evidence' refers to this act.
What is 'Fabricating false evidence'?,This refers to the creation or alteration of evidence with the intention to deceive or mislead.
What does the creation or alteration of evidence with the intention to deceive or mislead refer to?,'Fabricating false evidence'
What is meant by 'Using evidence known to be false'?,This implies the act of knowingly using false or incorrect evidence in a legal proceeding.
What does the act of knowingly using false or incorrect evidence in a legal proceeding imply?,This is meant by 'Using evidence known to be false'.
What does 'Issuing or signing false certificate' mean?,This means to create or approve a certificate with false or misleading information.
What does it mean to create or approve a certificate with false or misleading information?,This is referred to as 'Issuing or signing false certificate'.
What does it mean to cause disappearance of evidence of offence or giving false information to screen offender?,It refers to the act of eliminating evidence or providing incorrect information with the intention of protecting an individual who has committed a crime.
What is referred to by the act of eliminating evidence or providing incorrect information with the intention of protecting an individual who has committed a crime?,It means to cause disappearance of evidence of offence or giving false information to screen offender.
What is the definition of 'Intentional omission to give information of offence by person bound to inform'?,"It refers to the deliberate failure of an individual, who is obligated to do so, to provide information about a crime."
"What does the deliberate failure of an individual, who is obligated to do so, to provide information about a crime refer to?",It refers to 'Intentional omission to give information of offence by person bound to inform'.
What is 'Destruction of document to prevent its production as evidence'?,It refers to the act of intentionally destroying a document to prevent it from being used as evidence in a legal proceeding.
What does the act of intentionally destroying a document to prevent it from being used as evidence in a legal proceeding refer to?,It refers to 'Destruction of document to prevent its production as evidence'.
What does 'False personation for purpose of act or proceeding in suit or prosecution' mean?,It refers to the act of falsely representing oneself with the intention to deceive during a legal action or prosecution.
What does it mean when someone falsely represents themselves with the intention to deceive during a legal action or prosecution?,This is referred to as 'False personation for purpose of act or proceeding in suit or prosecution'.
What is meant by 'Harbouring offender'?,It refers to the act of providing refuge or protection to an individual who has committed a crime.
What does the act of providing refuge or protection to an individual who has committed a crime refer to?,It is referred to as 'Harbouring offender'.
What does 'Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture' imply?,It refers to a public servant intentionally disregarding the law with the aim of preventing a person from being punished or property from being seized.
What is meant by a public servant intentionally disregarding the law with the aim of preventing a person from being punished or property from being seized?,This is referred to as 'Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture'.
"What is the meaning of 'Public servant in judicial proceeding corruptly making report, etc., contrary to law'?","It refers to a public servant who, during a judicial proceeding, dishonestly creates a report or takes an action that is against the law."
Who does the term refer to that dishonestly creates a report or takes an action against the law during a judicial proceeding?,"The term refers to a public servant in judicial proceeding corruptly making report, etc., contrary to law."
What does section 221 refer to?,Intentional omission to apprehend on the part of public servant bound to apprehend.
Which section refers to the intentional omission to apprehend on the part of a public servant bound to apprehend?,Section 221
What is mentioned in section 223?,Escape from confinement or custody negligently suffered by public servant.
Which section mentions about 'Escape from confinement or custody negligently suffered by public servant'?,Section 223
What does section 225A cover?,"Omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise, provided for."
"Which section covers the omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise, provided for?",Section 225A covers this.
What is the violation mentioned in section 227?,Violation of condition of remission of punishment.
Which section mentions the violation of condition of remission of punishment?,Section 227
What is the crime defined in section 228A?,"Disclosure of identity of the victim of certain offences, etc."
"Which section of law defines the crime of 'Disclosure of identity of the victim of certain offences, etc.'?",Section 228A
What does section 229A refer to?,Failure by person released on bail or bond to appear in Court.
Which section refers to the failure by person released on bail or bond to appear in Court?,Section 229A
What is the definition given in section 230?,“Coin” defined. Indian coin.
Which section defines the term 'Coin' as 'Indian coin'?,Section 230
What crime is covered under section 231?,Counterfeiting coin.
Under which section is the crime of counterfeiting coin covered?,Section 231
What does section 235 concern?,Possession of instrument or material for the purpose of using the same for counterfeiting coin: if Indian coin.
Which section concerns possession of instrument or material for the purpose of using the same for counterfeiting coin if it is an Indian coin?,Section 235
What is the crime defined in section 238?,Import or export of counterfeits of the Indian coin.
Which section of law defines the crime of import or export of counterfeits of the Indian coin?,Section 238
What does section 242 refer to?,Possession of counterfeit coin by person.
Which section refers to the possession of counterfeit coin by a person?,Section 242
What is the offence for a person who knowingly becomes possessed of a counterfeit Indian coin?,The offence is outlined in section 243: Possession of Indian coin by person who knew it to be counterfeit when he became possessed thereof.
Which section outlines the offence for a person who knowingly becomes possessed of a counterfeit Indian coin?,The offence is outlined in section 243.
What is the crime for someone employed in mint causing coin to be of different weight or composition from that fixed by law?,The crime is defined in section 244: Person employed in mint causing coin to be of different weight or composition from that fixed by law.
What is defined in section 244 regarding a person employed in mint causing coin to be of different weight or composition from that fixed by law?,The crime for someone employed in mint causing coin to be of different weight or composition from that fixed by law is defined in section 244.
What does section 245 refer to?,Section 245 refers to the offence of unlawfully taking a coining instrument from mint.
What does the offense of unlawfully taking a coining instrument from mint refer to?,The offense of unlawfully taking a coining instrument from mint refers to Section 245.
What does section 248 pertain to?,Section 248 is about altering appearance of coin with intent that it shall pass as coin of different description.
Which section is related to altering the appearance of a coin with the intent that it shall pass as a coin of a different description?,Section 248 pertains to this.
What is the crime for delivering a coin that you know has been altered?,"The crime is described in section 250: Delivery of coin, possessed with knowledge that it is altered."
"Which section describes the crime of delivering a coin, possessed with knowledge that it is altered?",The crime is described in section 250.
What crime does section 255 refer to?,Section 255 refers to the crime of counterfeiting a Government stamp.
Which section of the law refers to the crime of counterfeiting a Government stamp?,The crime of counterfeiting a Government stamp is referred to in section 255.
What does section 258 define?,Section 258 defines the sale of counterfeit Government stamp as a crime.
Which section defines the sale of counterfeit Government stamp as a crime?,Section 258 defines the sale of counterfeit Government stamp as a crime.
What is the crime for using a Government stamp known to be counterfeit?,The crime is stated in section 260: Using as genuine a Government stamp known to be counterfeit.
What is stated in section 260 regarding the use of counterfeit Government stamps?,Section 260 states the crime for using as genuine a Government stamp known to be counterfeit.
What is the offence defined in section 264?,Section 264 defines the fraudulent use of false instrument for weighing as an offence.
What does Section 264 specifically define as an offence?,The fraudulent use of false instrument for weighing
What does section 265 refer to?,Section 265 refers to the fraudulent use of false weight or measure.
What does the fraudulent use of false weight or measure refer to in legal terms?,"In legal terms, the fraudulent use of false weight or measure refers to Section 265."
What is the offence under section 268?,Public nuisance.
Which section of law is associated with the offence of public nuisance?,Section 268
What is considered an offence under section 269?,Negligent act likely to spread infection of disease dangerous to life.
Which section of the law considers a negligent act likely to spread infection of disease dangerous to life as an offence?,Section 269
What does section 271 state as an offence?,Disobedience to quarantine rule.
Which section states disobedience to quarantine rule as an offence?,Section 271
What is the offence under section 277?,Fouling water of public spring or reservoir.
Which section of the law is violated by fouling water of public spring or reservoir?,Section 277
What is considered an offence under section 283?,Danger or obstruction in public way or line of navigation.
Under which section is danger or obstruction in public way or line of navigation considered an offence?,Section 283
What does section 295 refer to?,"Injuring or defiling place of work ship, with intent to insult the religion of any class."
"What is the act of injuring or defiling place of work ship, with intent to insult the religion of any class referred to as?",Section 295
What is the offence under section 297?,"Trespassing on burial places, etc."
"Which section of the law is violated by trespassing on burial places, etc.?",Section 297
What is considered an offence under section 294A?,Keeping lottery office.
Under which section of law is keeping a lottery office considered an offence?,Section 294A
What does section 292 state as an offence?,"Sale, etc., of obscene books, etc."
"Which section of the law states the offence of sale, etc., of obscene books, etc.?",Section 292
What is the offence under section 286?,Negligent conduct with respect to explosive substance.
Which section is related to the offence of negligent conduct with respect to explosive substance?,Section 286
What is defined by Section 299?,Culpable homicide
Which section defines culpable homicide?,Section 299
What kind of offense is outlined in Section 300?,Murder
Which section of the law outlines the offense of murder?,Section 300
What does Section 304A describe?,Causing death by negligence
Which section describes 'Causing death by negligence'?,Section 304A
What does Section 305 cover?,Abetment of suicide of child or insane person
Which section covers the abetment of suicide of child or insane person?,Section 305
What does Section 312 define?,Causing miscarriage
What is defined as 'Causing miscarriage'?,Section 312
What is the crime outlined in Section 319?,Hurt
Which section of the law outlines the crime of 'Hurt'?,Section 319
What is the offense mentioned in Section 320?,Grievous hurt
Which section of law mentions the offense of grievous hurt?,Section 320
What does Section 326A describe?,"Voluntarily causing grievous hurt by use of acid, etc."
"Which legal section describes the act of voluntarily causing grievous hurt by use of acid, etc.?",Section 326A
What kind of crime is covered in Section 327?,"Voluntarily causing hurt to extort property, or to constrain to an illegal act"
"Which section covers the crime of voluntarily causing hurt to extort property, or to constrain to an illegal act?",Section 327
What is the crime defined in Section 328?,"Causing hurt by means of poison, etc., with intent to commit an offence"
"Which section of law defines the crime of causing hurt by means of poison, etc., with intent to commit an offence?",Section 328
"What is meant by 'voluntarily causing hurt to extort confession, or to compel restoration of property'?","It refers to the act of intentionally causing physical harm to a person with the purpose of extracting a confession or compelling them to return stolen property, as described in section 330 and 331."
"What does the act of intentionally causing physical harm to a person with the purpose of extracting a confession or compelling them to return stolen property refer to, as described in section 330 and 331?","It's referred to as 'voluntarily causing hurt to extort confession, or to compel restoration of property'."
What does 'voluntarily causing grievous hurt to deter public servant from his duty' imply?,"It refers to the act of intentionally causing serious physical harm to a public servant with the aim of preventing them from performing their duties, as described in section 333."
What is described in section 333 regarding harm to a public servant?,"Section 333 describes 'voluntarily causing grievous hurt to deter public servant from his duty', which refers to the act of intentionally causing serious physical harm to a public servant with the aim of preventing them from performing their duties."
What is defined as 'wrongful confinement'?,"Wrongful confinement refers to the act of unlawfully restricting a person's freedom of movement, as described in section 340."
Which section describes the act of wrongful confinement as the unlawful restriction of a person's freedom of movement?,Section 340 describes the act of wrongful confinement.
What is the meaning of 'assault or criminal force to deter public servant from discharge of his duty'?,"It refers to the act of carrying out an assault or using criminal force to prevent a public servant from performing their duties, as described in section 353."
What does the act described in section 353 refer to?,It refers to the act of 'assault or criminal force to deter public servant from discharge of his duty'.
What is 'sexual harassment and punishment for sexual harassment'?,"It refers to the act of engaging in unwanted sexual behaviour towards another person and the corresponding punishments for such behaviours, as outlined in section 354A."
What does section 354A outline?,"Section 354A outlines the act of engaging in unwanted sexual behaviour towards another person and the corresponding punishments for such behaviours, which is also known as 'sexual harassment and punishment for sexual harassment'."
What does 'assault or criminal force in attempt wrongfully to' refer to?,"It refers to the act of using assault or criminal force in a wrongful attempt to achieve a certain goal, as partially described in section 357."
"What does the act of using assault or criminal force in a wrongful attempt to achieve a certain goal refer to, as partially described in section 357?",It refers to 'assault or criminal force in attempt wrongfully to'.
What is the definition of section 358?,Assault or criminal force on grave provocation.
Which section of law is defined as 'Assault or criminal force on grave provocation'?,Section 358
What does section 359 cover?,Kidnapping.
Which section covers kidnapping?,Section 359
What does section 361 mention?,Kidnapping from lawful guardianship.
Which section mentions kidnapping from lawful guardianship?,Section 361
What is the punishment for kidnapping as per section 363?,Punishment for kidnapping.
What is Section 363 about?,Section 363 is about the punishment for kidnapping.
What does section 364A cover?,"Kidnapping for ransom, etc."
"Which section covers Kidnapping for ransom, etc.?",Section 364A
What is section 365 about?,Kidnapping or abducting with intent secretly and wrongfully to confine person.
Which section is about kidnapping or abducting with intent secretly and wrongfully to confine person?,Section 365
What does section 370 cover?,Trafficking of person.
Which section covers the trafficking of person?,Section 370
What is the definition of section 375?,Rape.
Which legal section is defined as 'Rape'?,Section 375
What is the punishment for rape as per section 376?,Punishment for rape.
What does section 376 pertain to?,Punishment for rape.
What does section 378 cover?,Theft.
What is covered under Section 378?,Theft.
What is the punishment for theft as per section 379?,Punishment for theft.
What does section 379 pertain to in law?,Punishment for theft.
What does section 383 cover?,Extortion.
Which section covers extortion?,Section 383
What is the punishment for extortion?,The text does not provide specific information about the punishment for extortion.
Does the text provide specific information about the punishment for extortion?,"No, the text does not provide specific information about the punishment for extortion."
What does section 385 relate to?,Section 385 relates to putting a person in fear of injury in order to commit extortion.
Which section relates to putting a person in fear of injury in order to commit extortion?,Section 385 relates to this.
What is defined in section 390?,Section 390 defines robbery.
What does Section 390 define?,Section 390 defines robbery.
What is section 391 about?,Section 391 is about dacoity.
Which section is about dacoity?,Section 391 is about dacoity.
What does section 406 describe?,Section 406 describes the punishment for criminal breach of trust.
What is described as the punishment for criminal breach of trust?,The punishment for criminal breach of trust is described in Section 406.
What is addressed in section 410?,Section 410 addresses stolen property.
Which section addresses stolen property?,Section 410 addresses stolen property.
What is the topic of section 415?,Section 415 is about cheating.
Which section is about cheating?,Section 415 is about cheating.
What does section 417 outline?,Section 417 outlines the punishment for cheating.
Which section outlines the punishment for cheating?,Section 417 outlines the punishment for cheating.
What does section 416 entail?,Section 416 entails cheating by personation.
Which section entails cheating by personation?,Section 416 entails cheating by personation.
What does section 418 discuss?,Section 418 discusses cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect.
Which section discusses cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect?,Section 418 discusses this.
What is the punishment for cheating by personation?,This is outlined in law 419.
What law outlines the punishment for cheating by personation?,Law 419.
What is law 420 about?,Law 420 is about cheating and dishonestly inducing delivery of property.
Which law is about cheating and dishonestly inducing delivery of property?,Law 420 is about cheating and dishonestly inducing delivery of property.
What is considered as fraudulent deeds and dispositions of property?,"This is outlined in laws 421 to 424, which include acts like dishonest or fraudulent removal or concealment of property, preventing debt being available for creditors, execution of deed of transfer containing false statement of consideration."
"Which laws outline the acts considered as fraudulent deeds and dispositions of property, and what do these acts include?","This is outlined in laws 421 to 424, which include acts like dishonest or fraudulent removal or concealment of property, preventing debt being available for creditors, execution of deed of transfer containing false statement of consideration."
What is considered as mischief?,"This is outlined in laws 425 to 440, which include acts like causing damage, killing or maiming animals, causing injury to public works or property, setting fires, and making preparations for causing death or hurt."
"Which laws outline the acts considered as mischief, such as causing damage, killing or maiming animals, causing injury to public works or property, setting fires, and making preparations for causing death or hurt?",This is outlined in laws 425 to 440.
What is criminal trespass?,This is outlined in law 441.
Which law outlines criminal trespass?,Law 441
What is the difference between house-trespass and lurking house-trespass?,"House-trespass is defined in law 442, while lurking house-trespass is defined in law 443 and 444."
Which laws define house-trespass and lurking house-trespass?,"House-trespass is defined in law 442, while lurking house-trespass is defined in law 443 and 444."
What is considered as house-breaking?,This is outlined in law 445.
What is outlined in law 445?,House-breaking is outlined in law 445.
What is the punishment for criminal trespass?,The punishment for criminal trespass is detailed in section 447.
What is detailed in section 447?,The punishment for criminal trespass is detailed in section 447.
What does section 448 describe?,Section 448 describes the punishment for house-trespass.
What does the punishment for house-trespass refer to?,The punishment for house-trespass refers to Section 448.
What is the focus of section 449?,Section 449 focuses on house-trespass in order to commit an offence punishable with death.
What does section 449 specifically focus on?,Section 449 focuses on house-trespass in order to commit an offence punishable with death.
What offence is discussed in section 450?,Section 450 discusses house-trespass in order to commit offence punishable with imprisonment for life.
Which section discusses house-trespass in order to commit offence punishable with imprisonment for life?,Section 450 discusses house-trespass in order to commit offence punishable with imprisonment for life.
What is covered under section 451?,Section 451 covers house-trespass in order to commit offence punishable with imprisonment.
Which section covers the offence of house-trespass in order to commit offence punishable with imprisonment?,Section 451 covers the offence of house-trespass in order to commit offence punishable with imprisonment.
What does section 463 specify?,Section 463 specifies the offence of forgery.
Which section specifies the offence of forgery?,Section 463 specifies the offence of forgery.
What is the content of section 464?,Section 464 covers the act of making a false document.
Which section covers the act of making a false document?,Section 464 covers the act of making a false document.
What is the punishment for forgery?,The punishment for forgery is detailed in section 465.
What is detailed in section 465?,The punishment for forgery is detailed in section 465.
What does section 466 cover?,"Section 466 covers forgery of record of Court or of public register, etc."
"What does the forgery of record of Court or of public register, etc. fall under?","The forgery of record of Court or of public register, etc. falls under Section 466."
What does section 467 focus on?,"Section 467 focuses on forgery of valuable security, will, etc."
"Which section focuses on the forgery of valuable security, will, etc.?",Section 467 focuses on this.
What does section 468 detail?,Section 468 details forgery for the purpose of cheating.
What is the purpose of forgery as detailed in Section 468?,The purpose of forgery as detailed in Section 468 is for cheating.
What does section 469 cover?,Section 469 covers forgery for the purpose of harming reputation.
What is the purpose of forgery as covered in Section 469?,The purpose of forgery as covered in Section 469 is to harm reputation.
