answer,section,page,source_pdf,question,clean
"Administration under this Act shall be laid as soon as may be, after it is made, before the State Legislature/Union territory Legislature where it consists of two Houses, or where such Legislature consists of one House, before that House.",Unknown,24,Model-Tenancy-Act-English-02_06_2021.pdf,Summarize this legal clause.,True
"order published in the Official Gazette, not inconsistent with the provisions of this Act, remove the difficulty: Provided that no such order shall be made after the expiry of a period of two years from the commencement of this Act.",Unknown,24,Model-Tenancy-Act-English-02_06_2021.pdf,Simplify this tenancy law provision.,True
Maintenance of gardens and open spaces let out to or used by the tenant.,Unknown,28,Model-Tenancy-Act-English-02_06_2021.pdf,Simplify this tenancy law provision.,True
"Power of State Government to issue orders in respect of premises belonging to local authority, etc.",Unknown,1,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
Provisions with regard to standard rent not to apply to certain premises.,Unknown,1,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"Increase in rent annually and on account of improvement, etc., special addition, etc., and special or heavy repairs.",Unknown,1,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
No ejectment ordinarily to be made if tenant pays or is ready and willing to pay standard rent and permitted increases.,Unknown,1,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
Tenants’ right to give notice to landlord of his intention to occupy tenement in new building.,Unknown,1,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
Landlord to intimate to tenant date of completion and tenant’s right to occupy premises in new building.,Unknown,1,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"Members of armed forces of the Union, scientists or their successor-in-interest entitled to recover possession of premises required for their occupation.",Unknown,2,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
Landlord entitled to recover possession of premises given on licence on expiry.,Unknown,2,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
In absence of contract tenant not to sub-let or transfer or to give on licence.,Unknown,2,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
State Government or Government allottee to become tenant of premises requisitioned or continued under requisition.,Unknown,2,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
Special provision for making application to Competent Authority by landlord to evict tenant or licensee.,Unknown,2,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
Order of Competent Authority to be non-appealable and revision by State Government.,Unknown,2,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
"assent was first published in the Maharashtra Government Gazette, Part-IV, on the 10th March 2000.] An Act to unify, consolidate and amend the law relating to the control of rent and repairs of certain premises and of eviction and for encouraging the construction of new houses by assuring a fair return on the investment by landlords and to provide for the matters connected with the purposes aforesaid.",Section 18,5,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"WHEREAS it is expedient to unify, consolidate and amend the laws prevailing in the different parts of the State relating to the control of rents and repairs of certain premises and of eviction and for encouraging the construction of new houses by assuring a fair return and to provide for the matters connected with the purposes aforesaid;",Section 18,5,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"Short title, extent and commencement.— (1) This Act may be called the Maharashtra Rent Control Act, 1999.",Section 18,5,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
"Exemption.— (1) This Act shall not apply,— (a) to any premises belonging to the Government or a local authority or apply as against the Government to any tenancy, licence or other like relationship created by a grant from or a licence given by the Government in respect of premises requisitioned or taken on lease or on licence by the Government, including any premises taken on behalf of the Government on the basis of 1 For Statement of Objects and Reasons of the L.",Section 18,5,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
"but it shall apply in respect of premises let, or given on licence, to the Government or a local authority or taken on behalf of the Government on such basis by, or in the name of such officer;",Section 18,6,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"or (iv) to premises belonging to or vested in an university established by any law for the time being force: Provided that, before issuing any direction under this sub-section, the State Government shall ensure that the tenancy rights of the existing tenants are not adversely affected.",Section 18,6,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"Power of State Government to issue orders in respect of premises belonging to local authority, etc.— Notwithstanding anything contained in this Act, the State Government may from time to time, by general or special order, direct that the exemption granted to a local authority under sub-section (1) of section 3 shall be subject to such conditions and terms as it may specify either generally or specially in any particular case, as the State Government may in its discretion determine.",Section 18,6,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
"Cessation of exemption.— Where there is any contravention of any conditions or terms subject to which any exemption is granted by or under the provisions of this Act, it shall be competent for the State Government to direct that such exemption shall cease to have effect from such date as may be specified in the order: Provided that, no such order shall be made, unless the local Authority or the religious or charitable institution or the university referred to in sub-section (2) of section 3 has been given a reasonable opportunity of showing cause as to why such an order should not be issued.",Section 18,6,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"Provisions with regard to standard rent not to apply to certain premises.— Notwithstanding anything contained in this Act, from the commencement of this Act, the provisions relating to standard rent and permitted increases shall not apply to any premises let to or given on licence in a building, whether newly constructed or otherwise where such premises were not let or given on licence for a continuous period of one year: Provided that, nothing in this section shall apply to,— (a) the premises referred to in sections 20 and 21;",Section 18,7,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"and (b) in relation to any premises requisitioned or continued under requisition which were allotted by the State Government for residential purpose to any person and on the 7th December 1996, being the date of coming into force of the Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.",Section 18,7,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"such person or his legal heir was in occupation or possession of such premises for his or such legal heir’s own residence, means such person or legal heir;",Section 18,7,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
"and includes any person not being a tenant who from time to time derives title under a landlord, and further includes in respect of his sub-tenant, a tenant who has sub-let any premise;",Section 18,7,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"and also includes, in respect of a licensee deemed to be a tenant under the provisions of the Bombay Rents, Hotel and Lodging House Rates Control Act, 1947 (Bom.",Section 18,7,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"and includes any person in such occupation of any premises or part thereof in a building vesting in or leased to a Co-operative Housing society registered or deemed to be registered under the Maharashtra Co-operative Societies Act, 1960 (Mah.",Section 18,8,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"and the expressions “licence”, “licensor” and “premises given on license” shall be construed accordingly;",Section 18,8,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
"or (b) where the standard rent or fair rent is not so fixed, then subject to the provisions of sections 6 and 8,— (i) the rent at which the premises were let on the 1st day of October 1987;",Section 18,9,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
"or (ii) where the premises were not let on the 1st day of October 1987 or the rent at which they were last let before that day, plus increase of 5 per cent.",Section 18,9,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
"in the rent of the premises let before the 1st day of October 1987, or (c) in any of the cases specified in section 8, the rent fixed by the Court;",Section 18,9,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"Explanation.— The provisions of this clause for transmission of tenancy shall not be restricted to the death of the original tenant, but shall apply even on the death of any subsequent tenant, who becomes tenant under these provisions on the death of the last preceding tenant.",Section 18,10,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
"Court may fix standard rent and permitted increases in certain cases.— (1) Subject to the provisions of section 9 in any of the following cases, the court may, upon an application made to it for the purpose, or in any suit or proceedings, fix the standard rent at such amount as, having regard to the provisions of this Act and the circumstances of the case, the court, deems just,— (a) where the court is satisfied that there is no sufficient evidence to ascertain the rent at which the premises were let in any one of the cases mentioned in paragraphs (i) and (ii) of sub-clause (b) of clause (14) of section 7;",Section 18,10,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
"or (b) where by reasons of the premises having been let at one time as a whole or in parts and at another time, in parts or as a whole, or for any other reasons;",Section 18,10,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"or (c) where any premises have been or are let rent-free or, at a nominal rent;",Section 18,10,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
or (d) where there is any dispute between the landlord and the tenant regarding the amount of standard rent.,Section 18,10,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
"No application for standard rent in certain circumstances.— No court shall, upon an application or in any suit or proceedings, fix the standard rent of any premises under section 8, or entertain any plea that the rent or increases are excessive, if the standard rent or the permitted increase in respect of the same premises have been duly fixed by a competent court on the merits of the case, without any fraud or collusion or an error of the fact, and there has been no structural alternations or change in the amenities or in respect of any other factors which are relevant to the fixation of the standard rent, or change in such increases, thereafter in the premises.",Section 18,11,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"Rent in excess of standard rent illegal.— (1) Save as otherwise provided in section 6, it shall not be lawful to claim or receive on account of rent, for any premises any increases above the standard rent and the permitted increases, unless the landlord was, before the coming into operation of this Act, entitled to recover such increase by virtue of, or under, the provisions of any of the repealed Acts or is entitled to recover such increase under the provisions of this Act.",Section 18,11,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
and special or heavy repairs.— (1) After the commencement of this Act a landlord shall be entitled to make an increase of 4 per cent.,Section 18,11,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
per annum in the rent of the premises let for any of the purpose referred to in sub-section (1) of section 2.,Section 18,11,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"Explanation.— For the purposes of this sub-section, the period of one year on completion of which rent shall be so increased shall be computed from the date of commencement of this Act.",Section 18,11,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"Explanation.— In this sub-section, improvements and alterations do not include the repairs which the landlord is bound to make under sub-section (1) of section 14.",Section 18,11,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
per annum of the expenses incurred on account of special additions to premises or special alterations made therein or additional amenities provided for the premises or on account of improvements or structural alterations made under sub-section (2) after the commencement of this Act.,Section 18,11,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"The tenants shall also be entitled to deduct amount of expenses incurred for such work from the rent which from time to time becomes due by them to the landlord or otherwise recover such amount from him: Provided that, where such work is jointly executed by the tenants the amount to be deducted or recovered by each tenant shall bear the same proportion as the rent payable by him in respect of his premises bears to the total amount of the expenses incurred for such work: Provided further that, the total amount so deducted or recoverable shall not exceed the amount of expenses incurred for such work.",Section 18,12,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
and such increase of rent shall be payable from the month following the month in which such total amount is so deducted or recovered.,Section 18,12,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
and the increase of rent shall be payable from the date of completion of the repairs till amount of the expenditure for such repairs is recovered from the tenant.,Section 18,12,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"Increase in rent on account of payment of rate, etc.— (1) Where a landlord is required to pay to Government or to any local authority or statutory authority in respect of any premises any fresh rate, cess, charges, tax, land assessment, ground rent of land or any other levy on lands and buildings, he shall, notwithstanding anything contained in any other provisions of this Act but save as otherwise",Section 18,12,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
Certain increase in rent expected.— Any increase of rent under any of the foregoing provisions of sections 11 and 12 shall not be deemed to be increase for the purpose of section 10.,Section 18,13,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"Landlords’ duty to keep premises in good repair.— (1) Notwithstanding anything contained in any law for the time being in force and in the absence of an agreement to the contrary by the tenant, every landlord shall be bound to keep the premises in good and tenantable repair.",Section 18,13,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
"Provided that, where the repairs are jointly made by the tenants, the amount to be deducted or recovered with interest by each tenant shall bear the same proportion as the rent payable by him in respect of his premises bears to the total amount of the expenses incurred for such repairs together with simple interest at fifteen per cent.",Section 18,13,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"per annum on such amount: Provided further that, the amount so deducted or recoverable in any year shall not exceed one- fourth of the rent payable by the tenant of that year.",Section 18,13,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
and thereafter continues to pay or tenders in court regularly such standard rent and permitted increases till the suit is finally decided and also pays cost of the suit as directed by the court.,Section 18,13,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
"When landlord may recover possession.— (1) Notwithstanding anything contained in this Act but subject to the provisions of section 25, a landlord shall be entitled to recover possession of any premises if the court is satisfied— (a) that the tenant has committed any act contrary to the provisions of clause (o) of section 108 of the Transfer of Property Act, 1882 (IV of 1882);",Section 18,14,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"Explanation.— For the purposes of this clause, replacing of tiles or closing of balcony of the premises shall not be regarded as an act of a causing damage to the building or destructive or permanently injurious thereto;",Section 18,14,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"or (b) that the tenant has, without the landlord’s consent given in writing, erected on the premises any permanent structure;",Section 18,14,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
"or (c) that the tenant, his agent, servant, persons inducted by tenant or claiming under the tenant or, any person residing with the tenant has been guilty of conduct which is a nuisance or annoyance to the adjoining or neighbouring occupier, or has been convicted of using the premises or allowing the premises to be used for immoral or illegal purposes or that the tenant has in respect of the premises been convicted of an offence of contravention of any of the provisions of clause (a) of sub-section (1) of section 394 or of section 394A of the Mumbai Municipal Corporation Act (Bom.",Section 18,14,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
"or (d) that the tenant has given notice to quit and in consequence of that notice, the landlord has contracted to sell or let the premises or has taken any other steps as a result of which he would, in the opinion of the court, be seriously prejudiced, if he could not obtain possession of the premises;",Section 18,14,eng_maharashtra_rent_control_ac.pdf,Summarize this legal clause.,True
"or (e) that the tenant has— (i) on or after the 1st day February 1973, in the areas to which the Bombay Rents, Hotel and Lodging House Rates Control Act, 1947 (Bom.",Section 18,14,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
"or (ii) on or after the commencement of this Act, in the Vidarbha and Marathwada areas of the State, unlawfully sub-let or given on licence the whole or part of the premises or assigned or transferred in any other manner his interest therein;",Section 18,14,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
"or (f) that the premises were let to the tenant for use as a residence by reason of his being in the service or employment of the landlord, and that the tenant has ceased, whether before or after the commencement of this Act, to be in such service or employment;",Section 18,14,eng_maharashtra_rent_control_ac.pdf,What does this clause mean in simple terms?,True
or (h) that the premises are reasonably and bona fide required by the landlord for carrying out repairs which cannot be carried out without the premises being vacated;,Section 18,15,eng_maharashtra_rent_control_ac.pdf,Simplify this tenancy law provision.,True
or (i) that the premises are reasonably and bona fide required by the landlord for the immediate purpose of demolishing them and such demolition is to be made for the purpose of erecting new building on the premises sought to be demolished;,Section 18,15,eng_maharashtra_rent_control_ac.pdf,Explain this tenancy law clause.,True
