instruction,input,output,section,source
Summarize the following tenancy law clause.,but shall not include any person against whom any order or decree for eviction has been made.,but shall not include any person against whom any order or decree for eviction has been made.,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,but shall not include any person against whom any order or decree for eviction has been made.,tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Explain the following tenancy law clause in simple terms.,"43 of (d) premises owned by auqaf registered under the Waqf Act, 1995 or 1995 by any trust registered under the public trust law of the State/Union territory for the time being in force;","43 of (d) premises owned by auqaf registered under the Waqf Act, 1995 or 1995 by any trust registered under the public trust law of the State/Union territory for the time being in force;",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Provide a short summary of this legal provision.,"43 of (d) premises owned by auqaf registered under the Waqf Act, 1995 or 1995 by any trust registered under the public trust law of the State/Union territory for the time being in force;","43 of (d) premises owned by auqaf registered under the Waqf Act, 1995 or 1995 by any trust registered under the public trust law of the State/Union territory for the time being in force;",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"43 of (d) premises owned by auqaf registered under the Waqf Act, 1995 or 1995 by any trust registered under the public trust law of the State/Union territory for the time being in force;",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Simplify the following tenancy law provision.,"of this Act, let or take on rent any premises except by an agreement in writing, which shall be informed to the Rent Authority by the landlord and tenant jointly, in the form specified in the First Schedule within a period of two months from the date of tenancy agreement.","of this Act, let or take on rent any premises except by an agreement in writing, which shall be informed to the Rent Authority by the landlord and tenant jointly, in the form specified in the First Schedule within a period of two months from the date of tenancy agreement.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Summarize the following tenancy law clause.,"of this Act, let or take on rent any premises except by an agreement in writing, which shall be informed to the Rent Authority by the landlord and tenant jointly, in the form specified in the First Schedule within a period of two months from the date of tenancy agreement.","of this Act, let or take on rent any premises except by an agreement in writing, which shall be informed to the Rent Authority by the landlord and tenant jointly, in the form specified in the First Schedule within a period of two months from the date of tenancy agreement.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"of this Act, let or take on rent any premises except by an agreement in writing, which shall be informed to the Rent Authority by the landlord and tenant jointly, in the form specified in the First Schedule within a period of two months from the date of tenancy agreement.",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Explain the following tenancy law clause in simple terms.,"and (b) upload details of the tenancy agreement on its website in local vernacular language or the language of the State/Union territory, within seven working days from the date of receipt of such information, in such manner along with such documents as it may deem fit.","and (b) upload details of the tenancy agreement on its website in local vernacular language or the language of the State/Union territory, within seven working days from the date of receipt of such information, in such manner along with such documents as it may deem fit.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Provide a short summary of this legal provision.,"and (b) upload details of the tenancy agreement on its website in local vernacular language or the language of the State/Union territory, within seven working days from the date of receipt of such information, in such manner along with such documents as it may deem fit.","and (b) upload details of the tenancy agreement on its website in local vernacular language or the language of the State/Union territory, within seven working days from the date of receipt of such information, in such manner along with such documents as it may deem fit.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"and (b) upload details of the tenancy agreement on its website in local vernacular language or the language of the State/Union territory, within seven working days from the date of receipt of such information, in such manner along with such documents as it may deem fit.",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Interpret this legal clause related to tenancy law.,"Provided that notwithstanding anything contained in this section, if the term of tenancy expires at a time when the locality where the premises let out on rent is situated is affected by any disastrous event of force majeure, then, subject to requisition by the tenant, the landlord shall allow the tenant to continue in possession of the said premises till a period of one month from the date of cessation of such disastrous event on the same terms and conditions of the tenancy agreement already entered into.","Provided that notwithstanding anything contained in this section, if the term of tenancy expires at a time when the locality where the premises let out on rent is situated is affected by any disastrous event of force majeure, then, subject to requisition by the tenant, the landlord shall allow the tenant to continue in possession of the said premises till a period of one month from the date of cessation of such disastrous event on the same terms and conditions of the tenancy agreement already entered into.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Summarize the following tenancy law clause.,"Provided that notwithstanding anything contained in this section, if the term of tenancy expires at a time when the locality where the premises let out on rent is situated is affected by any disastrous event of force majeure, then, subject to requisition by the tenant, the landlord shall allow the tenant to continue in possession of the said premises till a period of one month from the date of cessation of such disastrous event on the same terms and conditions of the tenancy agreement already entered into.","Provided that notwithstanding anything contained in this section, if the term of tenancy expires at a time when the locality where the premises let out on rent is situated is affected by any disastrous event of force majeure, then, subject to requisition by the tenant, the landlord shall allow the tenant to continue in possession of the said premises till a period of one month from the date of cessation of such disastrous event on the same terms and conditions of the tenancy agreement already entered into.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"Provided that notwithstanding anything contained in this section, if the term of tenancy expires at a time when the locality where the premises let out on rent is situated is affected by any disastrous event of force majeure, then, subject to requisition by the tenant, the landlord shall allow the tenant to continue in possession of the said premises till a period of one month from the date of cessation of such disastrous event on the same terms and conditions of the tenancy agreement already entered into.",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Explain the following tenancy law clause in simple terms.,"Explanation.–– For the purposes of this section, “force majeure” means a situation of war, flood, drought, fire, cyclone, earthquake or any other calamity caused by nature affecting the habitation of the tenant in the premises let out on rent.","Explanation.–– For the purposes of this section, “force majeure” means a situation of war, flood, drought, fire, cyclone, earthquake or any other calamity caused by nature affecting the habitation of the tenant in the premises let out on rent.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Provide a short summary of this legal provision.,"Explanation.–– For the purposes of this section, “force majeure” means a situation of war, flood, drought, fire, cyclone, earthquake or any other calamity caused by nature affecting the habitation of the tenant in the premises let out on rent.","Explanation.–– For the purposes of this section, “force majeure” means a situation of war, flood, drought, fire, cyclone, earthquake or any other calamity caused by nature affecting the habitation of the tenant in the premises let out on rent.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"Explanation.–– For the purposes of this section, “force majeure” means a situation of war, flood, drought, fire, cyclone, earthquake or any other calamity caused by nature affecting the habitation of the tenant in the premises let out on rent.",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Explain the following tenancy law clause in simple terms.,"The terms of agreement executed between landlord and tenant, Rights and obligations of shall be binding upon their successors in the event of the death of successor in the landlord or tenant, as the case may be, and in such case, the case of death.","The terms of agreement executed between landlord and tenant, Rights and obligations of shall be binding upon their successors in the event of the death of successor in the landlord or tenant, as the case may be, and in such case, the case of death.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Summarize the following tenancy law clause.,"The terms of agreement executed between landlord and tenant, Rights and obligations of shall be binding upon their successors in the event of the death of successor in the landlord or tenant, as the case may be, and in such case, the case of death.","The terms of agreement executed between landlord and tenant, Rights and obligations of shall be binding upon their successors in the event of the death of successor in the landlord or tenant, as the case may be, and in such case, the case of death.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"The terms of agreement executed between landlord and tenant, Rights and obligations of shall be binding upon their successors in the event of the death of successor in the landlord or tenant, as the case may be, and in such case, the case of death.",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Interpret this legal clause related to tenancy law.,successors of the deceased landlord or tenant shall have the same Page 7 of 28,successors of the deceased landlord or tenant shall have the same Page 7 of 28,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Provide a short summary of this legal provision.,successors of the deceased landlord or tenant shall have the same Page 7 of 28,successors of the deceased landlord or tenant shall have the same Page 7 of 28,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,successors of the deceased landlord or tenant shall have the same Page 7 of 28,tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Simplify the following tenancy law provision.,rights and obligations as agreed to in the tenancy agreement for the remaining period of such tenancy.,rights and obligations as agreed to in the tenancy agreement for the remaining period of such tenancy.,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Provide a short summary of this legal provision.,rights and obligations as agreed to in the tenancy agreement for the remaining period of such tenancy.,rights and obligations as agreed to in the tenancy agreement for the remaining period of such tenancy.,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,rights and obligations as agreed to in the tenancy agreement for the remaining period of such tenancy.,tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Interpret this legal clause related to tenancy law.,"by entering into a supplementary agreement to the existing tenancy agreement, (a) sub-let whole or part of the premises held by him as a tenant;","by entering into a supplementary agreement to the existing tenancy agreement, (a) sub-let whole or part of the premises held by him as a tenant;",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Summarize the following tenancy law clause.,"by entering into a supplementary agreement to the existing tenancy agreement, (a) sub-let whole or part of the premises held by him as a tenant;","by entering into a supplementary agreement to the existing tenancy agreement, (a) sub-let whole or part of the premises held by him as a tenant;",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"by entering into a supplementary agreement to the existing tenancy agreement, (a) sub-let whole or part of the premises held by him as a tenant;",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Interpret this legal clause related to tenancy law.,The rent payable in respect of a premises shall be the rent agreed Rent payable.,The rent payable in respect of a premises shall be the rent agreed Rent payable.,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Summarize the following tenancy law clause.,The rent payable in respect of a premises shall be the rent agreed Rent payable.,The rent payable in respect of a premises shall be the rent agreed Rent payable.,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,The rent payable in respect of a premises shall be the rent agreed Rent payable.,tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Simplify the following tenancy law provision.,to between the landlord and the tenant in accordance with the terms of the tenancy agreement.,to between the landlord and the tenant in accordance with the terms of the tenancy agreement.,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Summarize the following tenancy law clause.,to between the landlord and the tenant in accordance with the terms of the tenancy agreement.,to between the landlord and the tenant in accordance with the terms of the tenancy agreement.,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,to between the landlord and the tenant in accordance with the terms of the tenancy agreement.,tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Explain the following tenancy law clause in simple terms.,"In case of any dispute between landlord and tenant regarding Rent Authority to determine the revision of rent, the Rent Authority may, on an application made by revised rent in the landlord or tenant, determine the revised rent and other charges case of dispute.","In case of any dispute between landlord and tenant regarding Rent Authority to determine the revision of rent, the Rent Authority may, on an application made by revised rent in the landlord or tenant, determine the revised rent and other charges case of dispute.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Provide a short summary of this legal provision.,"In case of any dispute between landlord and tenant regarding Rent Authority to determine the revision of rent, the Rent Authority may, on an application made by revised rent in the landlord or tenant, determine the revised rent and other charges case of dispute.","In case of any dispute between landlord and tenant regarding Rent Authority to determine the revision of rent, the Rent Authority may, on an application made by revised rent in the landlord or tenant, determine the revised rent and other charges case of dispute.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"In case of any dispute between landlord and tenant regarding Rent Authority to determine the revision of rent, the Rent Authority may, on an application made by revised rent in the landlord or tenant, determine the revised rent and other charges case of dispute.",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Simplify the following tenancy law provision.,payable by the tenant and also fix the date from which such revised rent becomes payable.,payable by the tenant and also fix the date from which such revised rent becomes payable.,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Summarize the following tenancy law clause.,payable by the tenant and also fix the date from which such revised rent becomes payable.,payable by the tenant and also fix the date from which such revised rent becomes payable.,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,payable by the tenant and also fix the date from which such revised rent becomes payable.,tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Explain the following tenancy law clause in simple terms.,"and (b) not exceed six months rent, in case of non-residential premises.","and (b) not exceed six months rent, in case of non-residential premises.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Summarize the following tenancy law clause.,"and (b) not exceed six months rent, in case of non-residential premises.","and (b) not exceed six months rent, in case of non-residential premises.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"and (b) not exceed six months rent, in case of non-residential premises.",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Simplify the following tenancy law provision.,"The tenancy agreement shall be signed in duplicate by both the Original tenancy agreement to be landlord and tenant, and one each of such original signed tenancy retained by agreement shall be retained by the landlord and tenant.","The tenancy agreement shall be signed in duplicate by both the Original tenancy agreement to be landlord and tenant, and one each of such original signed tenancy retained by agreement shall be retained by the landlord and tenant.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Summarize the following tenancy law clause.,"The tenancy agreement shall be signed in duplicate by both the Original tenancy agreement to be landlord and tenant, and one each of such original signed tenancy retained by agreement shall be retained by the landlord and tenant.","The tenancy agreement shall be signed in duplicate by both the Original tenancy agreement to be landlord and tenant, and one each of such original signed tenancy retained by agreement shall be retained by the landlord and tenant.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"The tenancy agreement shall be signed in duplicate by both the Original tenancy agreement to be landlord and tenant, and one each of such original signed tenancy retained by agreement shall be retained by the landlord and tenant.",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Simplify the following tenancy law provision.,"charges shall be paid to the landlord by postal money order or any other method, in such manner as may be prescribed, consecutively for two months, and if the landlord refuses to accept the rent and other charges within such period, then the tenant may deposit the same with the Rent Authority in such manner as may be prescribed.","charges shall be paid to the landlord by postal money order or any other method, in such manner as may be prescribed, consecutively for two months, and if the landlord refuses to accept the rent and other charges within such period, then the tenant may deposit the same with the Rent Authority in such manner as may be prescribed.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Provide a short summary of this legal provision.,"charges shall be paid to the landlord by postal money order or any other method, in such manner as may be prescribed, consecutively for two months, and if the landlord refuses to accept the rent and other charges within such period, then the tenant may deposit the same with the Rent Authority in such manner as may be prescribed.","charges shall be paid to the landlord by postal money order or any other method, in such manner as may be prescribed, consecutively for two months, and if the landlord refuses to accept the rent and other charges within such period, then the tenant may deposit the same with the Rent Authority in such manner as may be prescribed.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"charges shall be paid to the landlord by postal money order or any other method, in such manner as may be prescribed, consecutively for two months, and if the landlord refuses to accept the rent and other charges within such period, then the tenant may deposit the same with the Rent Authority in such manner as may be prescribed.",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Interpret this legal clause related to tenancy law.,"under sub-section (1) or sub-section (2), shall not by itself operate as an admission against the landlord or any other claim made by the tenant, if the landlord withdraws it to the extent of rent agreed upon under the tenancy agreement.","under sub-section (1) or sub-section (2), shall not by itself operate as an admission against the landlord or any other claim made by the tenant, if the landlord withdraws it to the extent of rent agreed upon under the tenancy agreement.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Summarize the following tenancy law clause.,"under sub-section (1) or sub-section (2), shall not by itself operate as an admission against the landlord or any other claim made by the tenant, if the landlord withdraws it to the extent of rent agreed upon under the tenancy agreement.","under sub-section (1) or sub-section (2), shall not by itself operate as an admission against the landlord or any other claim made by the tenant, if the landlord withdraws it to the extent of rent agreed upon under the tenancy agreement.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"under sub-section (1) or sub-section (2), shall not by itself operate as an admission against the landlord or any other claim made by the tenant, if the landlord withdraws it to the extent of rent agreed upon under the tenancy agreement.",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Interpret this legal clause related to tenancy law.,"landlord and the tenant shall keep the premises in as good a condition as at the commencement of the tenancy, except for normal wear and tear, and shall respectively be responsible to repair and maintain the said premises as specified in the Second Schedule or as agreed to in the tenancy agreement.","landlord and the tenant shall keep the premises in as good a condition as at the commencement of the tenancy, except for normal wear and tear, and shall respectively be responsible to repair and maintain the said premises as specified in the Second Schedule or as agreed to in the tenancy agreement.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Provide a short summary of this legal provision.,"landlord and the tenant shall keep the premises in as good a condition as at the commencement of the tenancy, except for normal wear and tear, and shall respectively be responsible to repair and maintain the said premises as specified in the Second Schedule or as agreed to in the tenancy agreement.","landlord and the tenant shall keep the premises in as good a condition as at the commencement of the tenancy, except for normal wear and tear, and shall respectively be responsible to repair and maintain the said premises as specified in the Second Schedule or as agreed to in the tenancy agreement.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"landlord and the tenant shall keep the premises in as good a condition as at the commencement of the tenancy, except for normal wear and tear, and shall respectively be responsible to repair and maintain the said premises as specified in the Second Schedule or as agreed to in the tenancy agreement.",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Interpret this legal clause related to tenancy law.,"fails to carry out the required repairs to make it inhabitable or the said premises could not be made inhabitable, then, the security deposit and advance rent shall be refunded by the landlord to the tenant within a period of fifteen days of the expiry of the notice period, after making due deduction of liability of the tenant, if any.","fails to carry out the required repairs to make it inhabitable or the said premises could not be made inhabitable, then, the security deposit and advance rent shall be refunded by the landlord to the tenant within a period of fifteen days of the expiry of the notice period, after making due deduction of liability of the tenant, if any.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Provide a short summary of this legal provision.,"fails to carry out the required repairs to make it inhabitable or the said premises could not be made inhabitable, then, the security deposit and advance rent shall be refunded by the landlord to the tenant within a period of fifteen days of the expiry of the notice period, after making due deduction of liability of the tenant, if any.","fails to carry out the required repairs to make it inhabitable or the said premises could not be made inhabitable, then, the security deposit and advance rent shall be refunded by the landlord to the tenant within a period of fifteen days of the expiry of the notice period, after making due deduction of liability of the tenant, if any.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"fails to carry out the required repairs to make it inhabitable or the said premises could not be made inhabitable, then, the security deposit and advance rent shall be refunded by the landlord to the tenant within a period of fifteen days of the expiry of the notice period, after making due deduction of liability of the tenant, if any.",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Interpret this legal clause related to tenancy law.,"During the subsistence of tenancy, the tenant shall –– Tenant to look after premises.","During the subsistence of tenancy, the tenant shall –– Tenant to look after premises.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Provide a short summary of this legal provision.,"During the subsistence of tenancy, the tenant shall –– Tenant to look after premises.","During the subsistence of tenancy, the tenant shall –– Tenant to look after premises.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"During the subsistence of tenancy, the tenant shall –– Tenant to look after premises.",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Explain the following tenancy law clause in simple terms.,"electronic mode, to the tenant at least twenty four hours before the time of entry under the following circumstances, namely:–– (a) to carry out repairs or replacement or to do or to get work done in the premises;","electronic mode, to the tenant at least twenty four hours before the time of entry under the following circumstances, namely:–– (a) to carry out repairs or replacement or to do or to get work done in the premises;",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Provide a short summary of this legal provision.,"electronic mode, to the tenant at least twenty four hours before the time of entry under the following circumstances, namely:–– (a) to carry out repairs or replacement or to do or to get work done in the premises;","electronic mode, to the tenant at least twenty four hours before the time of entry under the following circumstances, namely:–– (a) to carry out repairs or replacement or to do or to get work done in the premises;",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"electronic mode, to the tenant at least twenty four hours before the time of entry under the following circumstances, namely:–– (a) to carry out repairs or replacement or to do or to get work done in the premises;",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Simplify the following tenancy law provision.,or (b) to carry out an inspection of the premises for the purpose of determining whether the premises are in a habitable state;,or (b) to carry out an inspection of the premises for the purpose of determining whether the premises are in a habitable state;,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Summarize the following tenancy law clause.,or (b) to carry out an inspection of the premises for the purpose of determining whether the premises are in a habitable state;,or (b) to carry out an inspection of the premises for the purpose of determining whether the premises are in a habitable state;,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,or (b) to carry out an inspection of the premises for the purpose of determining whether the premises are in a habitable state;,tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Explain the following tenancy law clause in simple terms.,or (c) for any other reasonable cause for entry specified in the tenancy agreement.,or (c) for any other reasonable cause for entry specified in the tenancy agreement.,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Summarize the following tenancy law clause.,or (c) for any other reasonable cause for entry specified in the tenancy agreement.,or (c) for any other reasonable cause for entry specified in the tenancy agreement.,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,or (c) for any other reasonable cause for entry specified in the tenancy agreement.,tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Interpret this legal clause related to tenancy law.,"Provided further that nothing contained in this section shall prevent the landlord from entering into the premises let out on rent without prior notice to the tenant in case of emergent situations like war, flood, fire, cyclone, earthquake or any other natural calamity, which may affect that premises.","Provided further that nothing contained in this section shall prevent the landlord from entering into the premises let out on rent without prior notice to the tenant in case of emergent situations like war, flood, fire, cyclone, earthquake or any other natural calamity, which may affect that premises.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Summarize the following tenancy law clause.,"Provided further that nothing contained in this section shall prevent the landlord from entering into the premises let out on rent without prior notice to the tenant in case of emergent situations like war, flood, fire, cyclone, earthquake or any other natural calamity, which may affect that premises.","Provided further that nothing contained in this section shall prevent the landlord from entering into the premises let out on rent without prior notice to the tenant in case of emergent situations like war, flood, fire, cyclone, earthquake or any other natural calamity, which may affect that premises.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"Provided further that nothing contained in this section shall prevent the landlord from entering into the premises let out on rent without prior notice to the tenant in case of emergent situations like war, flood, fire, cyclone, earthquake or any other natural calamity, which may affect that premises.",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Explain the following tenancy law clause in simple terms.,"In case the landlord has engaged a property manager, the Information landlord shall provide the following information to the tenant, as to property namely:–– manager.","In case the landlord has engaged a property manager, the Information landlord shall provide the following information to the tenant, as to property namely:–– manager.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Provide a short summary of this legal provision.,"In case the landlord has engaged a property manager, the Information landlord shall provide the following information to the tenant, as to property namely:–– manager.","In case the landlord has engaged a property manager, the Information landlord shall provide the following information to the tenant, as to property namely:–– manager.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"In case the landlord has engaged a property manager, the Information landlord shall provide the following information to the tenant, as to property namely:–– manager.",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Interpret this legal clause related to tenancy law.,"and (d) if the property manager is a legal entity, the name of the entity and the person authorised in this behalf by that legal entity who may be contacted in relation to the tenancy agreement.","and (d) if the property manager is a legal entity, the name of the entity and the person authorised in this behalf by that legal entity who may be contacted in relation to the tenancy agreement.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Summarize the following tenancy law clause.,"and (d) if the property manager is a legal entity, the name of the entity and the person authorised in this behalf by that legal entity who may be contacted in relation to the tenancy agreement.","and (d) if the property manager is a legal entity, the name of the entity and the person authorised in this behalf by that legal entity who may be contacted in relation to the tenancy agreement.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"and (d) if the property manager is a legal entity, the name of the entity and the person authorised in this behalf by that legal entity who may be contacted in relation to the tenancy agreement.",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Simplify the following tenancy law provision.,and consequences (b) to do essential repairs on behalf of the landlord;,and consequences (b) to do essential repairs on behalf of the landlord;,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
