question,answer,source
Simplify this clause,"(2) Where the landlord and the tenant fail to jointly inform the execution of the tenancy agreement referred to in sub-section (1), the landlord and tenant shall separately inform the execution of tenancy agreement to the Rent Authority within a period of one month from the date of expiry of the period specified in sub-section (1).",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(3) The Rent Authority shall, within three months from the date of its appointment, put in place a digital platform in the local vernacular language or the language of the State/Union territory for enabling submissions of document in such form and manner as may be prescribed.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(4) The Rent Authority shall, after receiving information about the execution of tenancy agreement along with the documents specified in the First Schedule,–– Page 6 of 28",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(a) provide a unique identification number to the parties; and (b) upload details of the tenancy agreement on its website in local vernacular language or the language of the State/Union territory, within seven working days from the date of receipt of such information, in such manner along with such documents as it may deem fit.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(5) The terms of authorisation of the property manager, if any, by the landlord to deal with the tenant shall be such as agreed to by the landlord and tenant in that behalf in the tenancy agreement.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(6) The information provided under sub-section (1) and sub-section (2) shall be conclusive proof of the facts relating to tenancy and matters connected therewith, and in the absence of any statement of information, the landlord and the tenant shall not be entitled to any relief under the provisions of this Act.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,(1) Every tenancy entered into after the commencement of this Act Period of shall be valid for a period as agreed upon between the landlord and tenancy.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) The tenant may request the landlord for renewal or extension of the tenancy, within the period agreed to in the tenancy agreement, and if agreeable to the landlord, may enter into a new tenancy agreement with the landlord on mutually agreed terms and conditions.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(3) Where a tenancy for a fixed term ends and has not been renewed or the tenant fails to vacate the premises at the end of such tenancy, then such tenant shall be liable to pay an enhanced rent to the landlord as provided in section 23.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"Provided that notwithstanding anything contained in this section, if the term of tenancy expires at a time when the locality where the premises let out on rent is situated is affected by any disastrous event of force majeure, then, subject to requisition by the tenant, the landlord shall allow the tenant to continue in possession of the said premises till a period of one month from the date of cessation of such disastrous event on the same terms and conditions of the tenancy agreement already entered into.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"Explanation.–– For the purposes of this section, “force majeure” means a situation of war, flood, drought, fire, cyclone, earthquake or any other calamity caused by nature affecting the habitation of the tenant in the premises let out on rent.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"The terms of agreement executed between landlord and tenant, Rights and obligations of shall be binding upon their successors in the event of the death of successor in the landlord or tenant, as the case may be, and in such case, the case of death.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,successors of the deceased landlord or tenant shall have the same Page 7 of 28,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,rights and obligations as agreed to in the tenancy agreement for the remaining period of such tenancy.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(1) After the commencement of this Act, no tenant shall, except Restriction on sub-letting.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"by entering into a supplementary agreement to the existing tenancy agreement, (a) sub-let whole or part of the premises held by him as a tenant; (b) transfer or assign his rights in the tenancy agreement or any part thereof.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) Where the premises is sub-let upon entering into a supplementary agreement to the existing tenancy agreement as referred to in sub- section (1), the landlord and tenant shall jointly inform the Rent Authority about the sub-tenancy within a period of two months from the date of execution of such agreement in the Form specified in the First Schedule.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,The rent payable in respect of a premises shall be the rent agreed Rent payable.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,to between the landlord and the tenant in accordance with the terms of the tenancy agreement.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,(1) The revision of rent between the landlord and the tenant shall be in accordance with the terms of the tenancy agreement.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) Where, after the commencement of tenancy, the landlord has entered into an agreement in writing with the tenant prior to the commencement of the work and has incurred expenditure for carrying out improvement, addition or structural alteration in the premises occupied by the tenant, which does not include repairs necessary to be carried out under section 15, the landlord may increase the rent of the premises by an amount as agreed to between the landlord and the tenant, and such increase in rent shall become effective from one month after the completion of such work.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"In case of any dispute between landlord and tenant regarding Rent Authority to determine the revision of rent, the Rent Authority may, on an application made by revised rent in the landlord or tenant, determine the revised rent and other charges case of dispute.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,payable by the tenant and also fix the date from which such revised rent becomes payable.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(1) The security deposit to be paid by the tenant in advance shall be such as may be agreed upon between the landlord and the tenant in the tenancy agreement, which shall –– Page 8 of 28",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(a) not exceed two months rent, in case of residential premises; and (b) not exceed six months rent, in case of non-residential premises.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) The security deposit shall be refunded to the tenant on the date of taking over vacant possession of the premises from the tenant, after making due deduction of any liability of the tenant.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"The tenancy agreement shall be signed in duplicate by both the Original tenancy agreement to be landlord and tenant, and one each of such original signed tenancy retained by agreement shall be retained by the landlord and tenant.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,(1) Every tenant shall pay rent and other charges payable within Rent and other such period as agreed to in the tenancy agreement.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) Every landlord or his property manager shall, on receipt of payment towards rent and other charges payable within the stipulated period as in the tenancy agreement from the tenant, provide forthwith against acknowledgement, a duly signed receipt for the amount received by him: Provided that where the payment of rent or other charges is made by the tenant to the landlord through the electronic mode, the bank acknowledgment thereof shall be conclusive proof of such payment.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(1) Where the landlord refuses to accept any rent and other Deposit of rent charges payable or refuses to give a receipt, the rent and other with Rent Authority.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"charges shall be paid to the landlord by postal money order or any other method, in such manner as may be prescribed, consecutively for two months, and if the landlord refuses to accept the rent and other charges within such period, then the tenant may deposit the same with the Rent Authority in such manner as may be prescribed.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) Where the tenant is unable to decide to whom the rent is payable during the period of tenancy agreement, the tenant may, in such case, deposit the rent with the Rent Authority in such manner as may be prescribed.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(3) Where the rent is deposited under sub-section (1) or sub-section (2), the Rent Authority shall enquire the case as to whom the rent is payable and pass orders as may deem fit on the basis of the facts of the case.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(4) The withdrawal of rent and other charges payable, deposited Page 9 of 28",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"under sub-section (1) or sub-section (2), shall not by itself operate as an admission against the landlord or any other claim made by the tenant, if the landlord withdraws it to the extent of rent agreed upon under the tenancy agreement.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"landlord and the tenant shall keep the premises in as good a condition as at the commencement of the tenancy, except for normal wear and tear, and shall respectively be responsible to repair and maintain the said premises as specified in the Second Schedule or as agreed to in the tenancy agreement.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) In case of common facilities shared among the tenants or with the landlord, the respective responsibilities of the tenant and landlord to repair and maintain those facilities shall be such as may be specified in the tenancy agreement.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(3) If the tenant fails or refuses to carry out the repairs referred to in sub-section (1) or sub-section (2), the landlord may carry out the repairs or remove the additional structure erected by tenant without consent of landlord and deduct the amount incurred for such repairs or removal as the case may be, from the security deposit and the amount so deducted shall be paid by the tenant within a period of one month of issue of notice by the landlord in that regard: Provided that if the cost for such repairs exceed the security deposit, the tenant shall be liable to pay the excess cost including the security deposit so deducted to the landlord within a period of one month of the issue of notice by the landlord in that regard.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(4) In case the landlord refuses to carry out the repairs referred to in sub-section (1) or sub-section (2), the tenant may carry out such repairs and deduct the expenditure incurred towards the same from the rent to be paid for the succeeding months: Provided that in no case the deduction from rent in any one month shall exceed fifty per cent of the agreed rent for a month.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(5) Where the premises is uninhabitable without the repairs and the landlord refuses to carry out the required repairs, after being called upon by the tenant in writing to do so, the tenant may abandon the premises after giving the landlord fifteen days notice in writing.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(6) Where the premises let out on rent becomes uninhabitable for the tenant due to an event of force majeure or the tenant is unable to reside due to occurrence of such event, the landlord shall not charge rent from the tenant until the said premises is restored by the landlord, subject to the provisions of this section, to be inhabitable: Provided that where the rented premises becomes uninhabitable as specified in sub-section (5) or this sub-section and the landlord Page 10 of 28",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"fails to carry out the required repairs to make it inhabitable or the said premises could not be made inhabitable, then, the security deposit and advance rent shall be refunded by the landlord to the tenant within a period of fifteen days of the expiry of the notice period, after making due deduction of liability of the tenant, if any.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"During the subsistence of tenancy, the tenant shall –– Tenant to look after premises.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,(a) not intentionally or negligently damage the premises or permit such damage; (b) inform in writing the landlord of any damage; (c) take reasonable care of the premises and its contents including fitting and fixtures and keep it reasonably habitable having regard to its condition at the commencement of tenancy and the normal incidence of living.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(1) Every landlord or the property manager may enter the Entry into premises let out on rent after serving a notice, in writing or through premises.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"electronic mode, to the tenant at least twenty four hours before the time of entry under the following circumstances, namely:–– (a) to carry out repairs or replacement or to do or to get work done in the premises; or (b) to carry out an inspection of the premises for the purpose of determining whether the premises are in a habitable state; or (c) for any other reasonable cause for entry specified in the tenancy agreement.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) The notice referred to in sub-section (1) shall specify the day, time and reason for entry: Provided that no person shall enter the premises before sun rise and after sun set.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"Provided further that nothing contained in this section shall prevent the landlord from entering into the premises let out on rent without prior notice to the tenant in case of emergent situations like war, flood, fire, cyclone, earthquake or any other natural calamity, which may affect that premises.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"In case the landlord has engaged a property manager, the Information landlord shall provide the following information to the tenant, as to property namely:–– manager.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(a) name of the property manager; (b) proof that such property manager is authorised by the landlord; (c) specific purposes for which the property manager has been authorised by the landlord and the period of such authorisation; and (d) if the property manager is a legal entity, the name of the entity and the person authorised in this behalf by that legal entity who may be contacted in relation to the tenancy agreement.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(1) The duties of the property manager shall include the Duties of following, namely:–– property manager (a) to collect rent against receipt; and consequences (b) to do essential repairs on behalf of the landlord; of violation of duties.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,(c) to inspect the premises from time to time; (d) to give notices to tenant for–– (i) proper maintenance of the premises; (ii) delay in payment of rent; (iii) revision of rent; (iv) vacation of premises; (v) renewal of tenancy; (e) help in resolution of disputes among tenants and between landlord and tenant; (f) any other matters relating to tenancy to be acted upon only on the instructions of the landlord.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) Where the property manager acts, in contravention of the provisions of sub-section (1) or against the instructions of the landlord, the Rent Authority may, on an application made to it by the landlord or tenant in that behalf, remove the property manager or impose such costs on the property manager so as to compensate any loss incurred by the landlord or tenant due to such contravention.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(1) No landlord or property manager shall, either by himself or Withholding essential supply through any other person, withhold any essential supply or service in or service.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) In case of contravention of provisions of sub-section (1) and on application made by the tenant in this behalf, the Rent Authority after examining the matter, may pass an interim order directing the Page 12 of 28",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"restoration of supply of essential services immediately on service of such order upon the landlord or property manager, as the case may be, pending the inquiry referred to in sub-section (3).",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(3) The Rent Authority shall conduct an enquiry in respect of the application made by the tenant under sub-section (2), and complete the inquiry within one month of filing such application.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(4) The Rent Authority may, after giving a reasonable opportunity of being heard, award a compensation not exceeding two months rent to be paid by the person responsible for withholding the essential supply, so as to compensate the loss incurred.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(5) The Rent Authority may levy a penalty of a sum not exceeding twice the monthly rent to the tenant, if it finds that the application was frivolous or vexatious.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(1) A tenant shall not be evicted during the continuance of Eviction and tenancy agreement unless otherwise agreed to in writing by the recovery of possession of landlord and tenant, except in accordance with the provisions of sub- premises by section (2) or in accordance with the provisions of section 22.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) The Rent Court may, on an application made to it by the landlord in such manner as may be prescribed, make an order for eviction and recovery of possession of the premises on one or more of the following grounds, namely: - (a) that the tenant does not agree to pay the rent payable under section 8; (b) that the tenant has not paid the arrears of rent and other charges payable in full as specified in sub-section (1) of section 13 for two consecutive months, including interest for delayed payment as may be specified in the tenancy agreement within a period of one month from the date of service of notice of demand for payment of such arrears of rent and other charges payable to 4 of the landlord in the manner provided in sub-section (4) of section 1882 106 of the Transfer of Property Act, 1882; (c) that the tenant has, after the commencement of this Act, parted with the possession of whole or any part of the premises Page 13 of 28",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,without obtaining the written consent of the landlord; (d) that the tenant has continued to misuse the premises even after receipt of notice from the landlord to desist from such misuse.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"Explanation.–– For the purposes of this clause, “misuse of premises” means encroachment of additional space by the tenant or use of premises which causes public nuisance or causes damage to the property or is detrimental to the interest of the landlord or for immoral or illegal purposes; (e) where it is necessary for the landlord to carry out any repair or construction or rebuilding or addition or alteration or demolition in respect of the premises or any part thereof, which is not possible to be carried out without the premises being vacated: Provided that after such repair, construction, rebuilding, addition or alteration, the tenant may be allowed to reoccupy the premises only when it has been mutually agreed to between the landlord and the tenant and a new tenancy agreement has been submitted with the Rent Authority: Provided further that the tenant shall not be allowed to reoccupy the premises–– (i) in the absence of submission of such mutual tenancy agreement with the Rent Authority; and (ii) in cases where the tenant has been evicted under the orders of a Rent Court; (f) that the premises or any part thereof is required by the landlord for carrying out any repairs, construction, rebuilding, additions, alterations or demolition, for change of its use as a consequence of change of land use by the competent authority.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"Explanation.–– For the purposes of this clause, the expression “competent authority” means the Municipal Corporation or the Municipality or the Development Authority or any other authority, as the case may be, which provides permission on matters relating to repair or redevelopment or demolition of building or permission for change in land use: (g) that the tenant has given written notice to vacate the premises let out on rent and in consequence of that notice the landlord has contracted to sell the said premises or has taken any other step, as a result of which his interests would seriously suffer if he is not put in possession of that premises; (h) that the tenant has carried out any structural change or erected any permanent structure in the premises let out on rent without the written consent of the landlord.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(3) No order for eviction of the tenant on account of failure to pay the rent specified in clause (b) of sub-section (2) shall be made, if the tenant makes payment to the landlord or deposits with the Rent Court the arrears of rent and other charges payable, if any, including interest within one month from the date of service of the said demand notice upon him.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(4) Where the tenant fails to pay rent consecutively for two months subsequent to the grant of the relief specified in sub-section (3) in any one year, then the tenant shall not be entitled to such relief again.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(5) In any proceedings for eviction under clause (e) of sub-section (2), the Rent Court may allow eviction from only a part of the premises, if the landlord agrees for the same.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(1) Notwithstanding anything contained in this Act or any other Eviction and law for the time being in force, in case of death of the landlord, where recovery of there is a bonafide requirement of the premises let out on rent by the possession of premises in case legal heirs of the landlord during the period of tenancy, such legal of death of heirs may file an application in this behalf for eviction and recovery of landlord.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"possession of the said premises before the Rent Court in such form and manner, as may be prescribed.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) The Rent Court may, on an application made to it under sub- section (1), if it is satisfied that the legal heirs of the deceased landlord are in bonafide requirement of the premises let out on rent, pass necessary orders against the tenant for handing over vacant possession of the said premises to the legal heirs of the deceased landlord.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,Where the tenant fails to vacate the premises let out on rent in Enhancement of rent in case of accordance with the tenancy agreement on the expiration of the refusal by tenant period of tenancy or termination of tenancy by an order or notice to vacate.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"under the provisions of this Act, such tenant shall be liable to pay the landlord –– (a) twice the monthly rent for the first two months; and (b) four times the monthly rent thereafter till the tenant continues to occupy the said premises.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(1) Where a landlord exercises the right of recovery of Refund of advance rent by possession under sub-section (2) of section 21 or under section 22, landlord.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"and he had received any rent or any other payment in advance from the tenant, he shall before recovery of possession, refund to the tenant such amount after deducting the rent and other charges due to him.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) If the landlord fails to make any refund, he shall be liable to pay Page 15 of 28",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,simple interest to the tenant at such rate as may be prescribed from time to time on the amount which he has omitted or failed to refund.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,In any proceedings for recovery of possession on any ground Payment of rent during eviction other than that referred to in clause (a) or clause (b) of sub-section proceedings.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) of section 21, where the tenant contests the claim for eviction, the landlord may at any stage of the proceedings apply to the Rent Court to direct the tenant to pay him the rent payable, as under section 8, and the Rent Court may order the tenant to make such payment and all other charges due from the tenant along with penal charges, if any, due to delay in payment, in accordance with the provisions of sub-section (1) of section 14.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,(1) Tenant shall not carry out any structural change or erect any Permission to build additional permanent structure in the premises let out on rent without the structures.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) Where the landlord proposes to make any improvement in or construct any additional structure on any premises which has been let out to a tenant and the tenant refuses to allow the landlord to make such improvement or construct such additional structure, the landlord may make an application in this behalf to the Rent Court.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(3) On an application made by the landlord under sub-section (2), if the Rent Court is satisfied that the landlord is ready and willing to commence the work which is necessary, the Rent Court may permit the landlord to do such work and may make such other order as it may deem fit: Provided that such improvement or additional structure shall not decrease or diminish or deteriorate the accommodation or housing services in the premises which may cause undue hardship to the tenant.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,Provided further that it shall be the responsibility of the tenant to remove any such additional structure built by tenant without consent of landlord.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(1) Notwithstanding anything contained in section 21 or section Special provision 22, where any premises let out for rent comprises vacant land, upon regarding vacant which it is permissible under the municipal bye-laws for the time land.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"being in force to erect any building whether for residence or for any other purpose, and the landlord who intends to erect such building is unable to obtain possession of the same from the tenant on the basis of the tenancy agreement, the landlord or, in case of death of the landlord, his legal heirs, may file an application in this behalf, in such form and manner as may be prescribed, before the Rent Court.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) The Rent Court may, on receipt of the application referred to in sub-section (1), if it is satisfied that the landlord is or, as the case may be, his legal heirs are ready and willing to commence the work and that the severance of the vacant land from the rest of the premises shall not cause undue hardship to the tenant,–– (a) direct such severance after such enquiry as it may deem fit; (b) place the landlord in possession of the vacant land; (c) determine the rent payable by the tenant in respect of the rest of the premises; and (d) make such other orders as it may deem fit in the circumstances of the case.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"Notwithstanding anything contained in any other law for the time Vacant possession to being in force, where the interest, of a landlord or in case of death of landlord.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"the landlord, of his legal heirs in any premises is determined for any reason whatsoever and any order is made by the Rent Court under this Act for the recovery of possession of such premises, such order shall, subject to the provisions of sub-section (3) of section 21, be binding on all occupants who may be in occupation of the premises and vacant possession thereof shall be given by all such occupants to the landlord or to the legal heirs of the landlord.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"Notwithstanding anything contained in this Act or any other law Provisions regarding notice for the time being in force, a tenant may give up possession of the of giving up premises on giving such written notice as is required under the possession by tenancy agreement and in the absence of any stipulation relating to tenant.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"such notice, the tenant shall give notice to the landlord of at least one month before giving up possession of the premises.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"previous approval of the State Government/Union territory Administration, appoint an officer, not below the rank of Deputy Collector, to be the Rent Authority within his jurisdiction.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,The Rent Authority shall have all the powers as are vested in a Power and Page 17 of 28,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,Rent Court under this Act in respect of any proceedings initiated procedure of Rent Authority.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,(1) Any person aggrieved by the order of the Rent Authority may Appeals.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,(2) The appeal under sub-section (1) shall be preferred within a period of thirty days from the date of the order of the Rent Authority.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"The District Collector or District Magistrate shall, with the previous approval of the State Government/ Union territory Rent Court Administration, appoint Additional Collector or Additional District Magistrate or an officer of equivalent rank, to be the Rent Court for the purposes of this Act, within his jurisdiction.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
